DATA,PLACA,VALOR,LITROS,KM,Posto,,Valor Lt,,,,,,,,,
04/01/2021 15:18,FTN3997,206.83,59.179,32707,Classe A,ok,3.494989777,,,,,,,,,
11/01/2021 06:56,GBK3450,104.85,30.000,75761,Classe A,ok,3.495,,,,,,,,,
18/01/2021 07:04,FTN3997,197.50,56.510,34183,Classe A,ok,3.494956645,,,,,,,,,
18/01/2021 12:12,GBK3450,209.18,59.852,75978,Classe A,ok,3.49495422,,,,,,,,,
18/01/2021 12:39,GIY5037,189.71,54.281,16023,Classe A,ok,3.494961405,,,,,,,,,
20/01/2021 15:38,GJJ1517,193.18,55.290,52160,Classe A,ok,3.493941038,,,,,,,,,
26/01/2021 09:58,CFZ0261,173.27,49.591,125430,Classe A,ok,3.493980763,,,,,,,,,
26/01/2021 12:45,GIY5037,189.30,54.179,16424,Classe A,ok,3.49397368,,,,,,,,,
27/01/2021 09:47,EZL7445,192.80,55.181,132725,Classe A,ok,3.493956253,,,,,,,,,
27/01/2021 13:11,GJJ1517,149.12,42.679,52490,Classe A,ok,3.493990019,,,,,,,,,
28/01/2021 13:13,FTN3997,176.76,50.590,34716,Classe A,ok,3.493971141,,,,,,,,,
01/02/2021 15:53,GIY5037,215.28,59.900,16880,Classe A,ok,3.593989983,,,,,,,,,
01/02/2021 17:35,GCZ8568,206.01,57.321,261568,Classe A,ok,3.593970796,,,,,,,,,
02/02/2021 13:07,GBK3450,207.37,57.699,75978,Classe A,ok,3.59399643,,,,,,,,,
03/02/2021 15:28,GALÃO,77.85,21.662,,Classe A,ok,3.593850983,,,,,,,,,
04/02/2021 08:23,GGX7479,195.01,52.792,358601,Mister Plus,ok,3.693930899,,,,,,,,,
04/02/2021 08:34,GJG4938,177.40,49.361,29781,Classe A,ok,3.593930431,,,,,,,,,
04/02/2021 09:51,FTN3997,200.80,55.871,35285,Classe A,ok,3.593993306,,,,,,,,,
05/02/2021 08:03,GBK3450,220.02,61.219,75978,Classe A,ok,3.59398226,,,,,,,,,
05/02/2021 08:25,GGP4918,192.03,53.431,37262,Classe A,ok,3.593981022,,,,,,,,,
08/02/2021 07:30,GJJ1517,204.61,55.390,52918,Mister Plus,ok,3.693988084,,,,,,,,,
08/02/2021 08:45,FCB4118,271.29,73.441,136339,Mister Plus,ok,3.693985648,,,,,,,,,
08/02/2021 09:21,GIY5037,185.34,51.570,17330,Classe A,ok,3.593949971,,,,,,,,,
08/02/2021 09:31,LLV9020,177.04,49.260,43328,Classe A,ok,3.593991068,,,,,,,,,
08/02/2021 14:02,GCZ8568,218.62,60.830,38947,Classe A,ok,3.593950353,,,,,,,,,
09/02/2021 09:29,GJG4938,171.04,47.591,30066,Classe A,ok,3.593956841,,,,,,,,,
09/02/2021 09:34,FTN3997,156.16,43.451,65720,Classe A,ok,3.593933396,,,,,,,,,
09/02/2021 13:05,GBK3450,137.83,38.351,77007,Classe A,ok,3.593908894,,,,,,,,,
09/02/2021 13:08,GALÃO,44.03,12.251,,Classe A,ok,3.593992327,,,,,,,,,
10/02/2021 08:12,GGX7479,200.18,54.191,36256,Mister Plus,ok,3.693971324,,,,,,,,,
10/02/2021 09:47,GFG5937,209.09,57.380,,Classe A,ok,3.643952597,,,,,,,,,
10/02/2021 09:48,GALÃO,44.60,12.240,,Classe A,ok,3.64379085,,,,,,,,,
11/02/2021 09:48,GHF5509,213.90,58.700,27087,Classe A,ok,3.6439523,,,,,,,,,
11/02/2021 09:50,GALÃO,221.85,60.881,,Classe A,ok,3.643994021,,,,,,,,,
11/02/2021 10:39,LLV9020,149.37,40.991,43656,Classe A,ok,3.643970628,,,,,,,,,
11/02/2021 14:12,GKE2616,231.65,63.571,29389,Classe A,ok,3.64395715,,,,,,,,,
12/02/2021 07:30,GJG4938,182.78,50.160,30066,Classe A,ok,3.643939394,,,,,,,,,
12/02/2021 08:35,GGP4918,221.01,60.651,37762,Classe A,ok,3.643963001,,,,,,,,,
12/02/2021 09:42,FTN3997,186.35,51.139,36210,Classe A,ok,3.64398991,,,,,,,,,
12/02/2021 13:40,GBK3450,172.58,47.361,77300,Classe A,ok,3.643926437,,,,,,,,,
17/02/2021 14:51,FFN9452,190.31,51.519,1458196,Classe A,ok,3.693976979,,,,,,,,,
19/02/2021 08:01,GGX7479,204.57,51.220,36256,Mister Plus,ok,3.993947677,,,,,,,,,
19/02/2021 09:04,LLV9020,196.03,49.082,44056,Classe A,ok,3.993928528,,,,,,,,,
19/02/2021 09:31,GFG5937,256.02,64.102,8694,Classe A,ok,3.993947147,,,,,,,,,
19/02/2021 10:51,GJG4938,184.88,46.290,30753,Mister Plus,ok,3.993951177,,,,,,,,,
19/02/2021 13:43,FCB4118,281.54,70.491,136872,Classe A,ok,3.993985048,,,,,,,,,
20/02/2021 12:14,GHF5509,242.36,60.682,27408,Classe A,ok,3.993935599,,,,,,,,,
22/02/2021 13:36,GBK3450,176.02,44.072,77569,Classe A,ok,3.993919042,,,,,,,,,
23/02/2021 06:36,GCZ8568,249.07,62.362,39347,Classe A,ok,3.993938616,,,,,,,,,
23/02/2021 10:41,LLV9020,164.19,41.110,44535,Classe A,ok,3.993918755,,,,,,,,,
23/02/2021 17:34,GJG4938,218.51,54.710,30066,Classe A,ok,3.993968196,,,,,,,,,
24/02/2021 08:53,GGP4918,205.49,51.450,38254,Classe A,ok,3.993974733,,,,,,,,,
24/02/2021 10:10,GJJ1517,224.14,56.120,53361,Classe A,ok,3.993941554,,,,,,,,,
25/02/2021 08:04,GGX7479,221.59,55.481,37044,Mister Plus,ok,3.993979921,,,,,,,,,
25/02/2021 13:31,LLV9020,180.37,45.161,44734,Classe A,ok,3.993932818,,,,,,,,,
25/02/2021 13:31,GBK3450,202.86,50.792,77880,Mister Plus,ok,3.993936053,,,,,,,,,
26/02/2021 08:29,GFG5937,246.95,61.832,9021,Mister Plus,ok,3.993886661,,,,,,,,,
26/02/2021 08:59,GJG4938,195.99,49.072,31760,Classe A,ok,3.993927291,,,,,,,,,
26/02/2021 09:04,FFN9452,191.67,47.990,1458196,Classe A,ok,3.993957074,,,,,,,,,
26/02/2021 09:51,GCZ8568,97.85,24.500,39524,Classe A,ok,3.993877551,,,,,,,,,
01/03/2021 10:17,FTN3997,192.63,48.230,36682,Classe A,ok,3.993987145,,,,,,,,,
02/03/2021 08:17,LLV9020,217.03,54.340,45183,Classe A,ok,3.993927126,,,,,,,,,
02/03/2021 08:29,FCB4118,290.00,72.609,1371838,Mister Plus,ok,3.993995235,,,,,,,,,
02/03/2021 08:49,GGP4918,239.52,59.970,38648,Classe A,ok,3.993996998,,,,,,,,,
02/03/2021 17:59,GJG4938,214.12,53.611,31760,Classe A,ok,3.993956464,,,,,,,,,
03/03/2021 08:10,GBK3450,245.55,61.480,78257,Classe A,ok,3.993981783,,,,,,,,,
03/03/2021 08:16,GFG5937,201.38,50.421,9294,Classe A,ok,3.993970766,,,,,,,,,
03/03/2021 08:19,GGX7479,243.87,61.060,37480,Mister Plus,ok,3.993940387,,,,,,,,,
04/03/2021 11:20,GJJ1517,239.04,59.850,53849,Classe A,ok,3.993984962,,,,,,,,,
05/03/2021 08:24,LLV9020,193.07,48.341,45592,Classe A,ok,3.993918206,,,,,,,,,
05/03/2021 09:22,GIY5037,200.70,50.251,17747,Classe A,ok,3.993950369,,,,,,,,,
05/03/2021 17:48,FFN9452,208.41,52.181,1458196,Classe A,ok,3.993982484,,,,,,,,,
08/03/2021 08:54,GGP4918,200.02,50.081,39049,Classe A,ok,3.993929834,,,,,,,,,
08/03/2021 08:55,GALÃO,92.26,23.100,,Classe A,ok,3.993939394,,,,,,,,,
08/03/2021 09:14,FTN3997,237.00,59.340,37325,Classe A,ok,3.993933266,,,,,,,,,
08/03/2021 13:15,GBK3450,209.84,52.539,78590,Mister Plus,ok,3.99398542,,,,,,,,,
09/03/2021 08:11,GGX7479,234.85,58.801,37893,Mister Plus,ok,3.993979694,,,,,,,,,
09/03/2021 08:16,GFG5937,253.02,63.351,9633,Mister Plus,ok,3.993938533,,,,,,,,,
09/03/2021 08:23,FCB4118,251.34,62.930,138026,Mister Plus,ok,3.993961545,,,,,,,,,
11/03/2021 08:45,LLV9020,222.15,55.621,46163,Classe A,ok,3.993995074,,,,,,,,,
12/03/2021 07:21,FFN9452,202.74,50.762,147887,Classe A,ok,3.993932469,,,,,,,,,
12/03/2021 08:00,GIY5037,226.10,56.610,18255,Classe A,ok,3.993993994,,,,,,,,,
12/03/2021 08:22,GCZ8568,226.02,56.590,40013,Classe A,ok,3.993991871,,,,,,,,,
12/03/2021 08:47,GGP4918,227.34,56.921,39444,Classe A,ok,3.993956536,,,,,,,,,
12/03/2021 09:35,FTN3997,185.68,46.490,37887,Classe A,ok,3.993977199,,,,,,,,,
12/03/2021 13:18,GBK3450,243.27,60.909,78990,Mister Plus,ok,3.993991036,,,,,,,,,
15/03/2021 08:27,GGX7479,220.95,53.970,38323,Classe A,ok,4.093941078,,,,,,,,,
16/03/2021 14:57,LLV9020,212.11,51.810,46640,Classe A,ok,4.093997298,,,,,,,,,
19/03/2021 15:03,GCZ8568,234.65,58.751,40527,Classe A,ok,3.993974571,,,,,,,,,
22/03/2021 06:57,FTN3997,174.00,43.511,38338,Classe A,ok,3.998988761,,,,,,,,,
22/03/2021 07:01,GIY5037,262.01,65.519,18852,Classe A,ok,3.998992659,,,,,,,,,
22/03/2021 08:55,GGX7479,174.52,43.641,38744,Classe A,ok,3.998991774,,,,,,,,,
23/03/2021 08:25,LLV9020,255.86,63.981,47181,Classe A,ok,3.998999703,,,,,,,,,
23/03/2021 09:21,FFN9452,202.95,50.751,148402,Classe A,ok,3.998935982,,,,,,,,,
25/03/2021 18:57,GCZ8568,258.31,61.591,41064,Mister Plus,ok,4.193956909,,,,,,,,,
25/03/2021 19:40,LLV9020,252.34,63.101,47703,Classe A,ok,3.998985753,,,,,,,,,
26/03/2021 14:53,FTN3997,207.31,49.431,38800,Mister Plus,ok,4.193926888,,,,,,,,,
27/03/2021 08:01,FFN9452,198.47,49.630,148917,Classe A,ok,3.998992545,,,,,,,,,
27/03/2021 08:10,GIY5037,235.91,56.250,19338,Mister Plus,ok,4.193955556,,,,,,,,,
28/03/2021 11:12,GCZ8568,160.34,38.231,41392,Mister Plus,ok,4.193978708,,,,,,,,,
29/03/2021 06:30,LLV9020,211.75,52.951,48104,Classe A,ok,3.998980189,,,,,,,,,
31/03/2021 16:24,GJG4938,204.19,51.061,32347,Classe A,ok,3.998942441,,,,,,,,,
01/04/2021 08:57,GBK3450,180.03,45.019,79409,Classe A,ok,3.998978209,,,,,,,,,
